wavelength_nm,maximum_dimension_um,effective_diameter_um,effective_radius_um,ice_habit,surface_roughness,mass_extinction_coefficient_m2_kg,single_scattering_albedo,asymmetry_parameter,source_dataset,source_version,source_record_provenance
700,5.0,0.6105519812970241,0.3052759906485121,10_plates,Rough000,4090.4461300567186,0.9999998,0.85017087,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,5.0,0.6105519812970241,0.3052759906485121,10_plates,Rough000,3708.7148425781074,0.99999959,0.84135046,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,6.0,0.7326624012773063,0.36633120063865315,10_plates,Rough000,4655.808855508635,0.99999998,0.89270548,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,6.0,0.7326624012773063,0.36633120063865315,10_plates,Rough000,4606.818894449347,0.99999997,0.8919985349999999,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,6.0,0.7326624012773063,0.36633120063865315,10_plates,Rough000,4543.949748655079,0.99999996,0.88952537,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,6.0,0.7326624012773063,0.36633120063865315,10_plates,Rough000,4370.993874484189,0.9999999,0.88363663,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,6.0,0.7326624012773063,0.36633120063865315,10_plates,Rough000,4140.788065666819,0.9999998,0.87571022,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,6.0,0.7326624012773063,0.36633120063865315,10_plates,Rough000,3882.147845050564,0.99999959,0.86762228,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,7.0,0.8547727439684334,0.4273863719842167,10_plates,Rough000,4087.543054266532,0.99999998,0.8911469,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,7.0,0.8547727439684334,0.4273863719842167,10_plates,Rough000,4049.3728138554293,0.999999965,0.8928772,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
